,importance,stddev,p_value,n,p99_high,p99_low
birthdate_574D,0.0005200000000000094,0.0004816637831517333,0.03661690422320073,5,0.0015117523868103885,-0.00047175238681036974
max_employedfrom_700D,0.0005199999999999872,0.0003033150177620616,0.009281282250780938,5,0.0011445298138311325,-0.00010452981383115819
sumoutstandtotal_3546847A,0.0005199999999999872,0.0003033150177620616,0.009281282250780938,5,0.0011445298138311325,-0.00010452981383115819
lastapprdate_640D,0.0005199999999999872,0.00033466401061363983,0.012740740740742886,5,0.0012090778234016592,-0.00016907782340168495
max_annuity_853A,0.0005199999999999872,0.0002683281573000031,0.006158676235122928,5,0.0010724913845699532,-3.249138456997878e-05
numcontrs3months_479L,0.0005199999999999872,0.00026832815729996176,0.006158676235119687,5,0.001072491384569868,-3.249138456989367e-05
numinstpaidearly5d_1087L,0.0005199999999999872,0.0001788854381999883,0.001445003558550654,5,0.0008883275897132695,0.0001516724102867049
sumoutstandtotalest_4493215A,0.00047999999999999156,0.0003033150177620506,0.012021764399686113,5,0.0011045298138311142,-0.00014452981383113102
numinstpaidlate1d_3546852L,0.00047999999999999156,0.0002280350850198317,0.004630848379757788,5,0.0009495273918356424,1.047260816434075e-05
numinsttopaygr_769L,0.00047999999999999156,0.00033466401061364644,0.01633896166840479,5,0.0011690778234016773,-0.00020907782340169422
lastactivateddate_801D,0.00047999999999999156,0.0002280350850198317,0.004630848379757788,5,0.0009495273918356424,1.047260816434075e-05
maxoutstandbalancel12m_4187113A,0.00047999999999999156,0.00022803508501985603,0.00463084837975951,5,0.0009495273918356925,1.0472608164290606e-05
sellerplacecnt_915L,0.00043999999999999595,0.0002966479394838425,0.01473565813932022,5,0.0010508022075074736,-0.00017080220750748175
maxdpdinstldate_3546855D,0.00043999999999999595,0.0003286335345031074,0.02009310912771456,5,0.0011166609897400445,-0.00023666098974005248
mindbddpdlast24m_3658935P,0.00043999999999999595,0.00029664793948384254,0.014735658139320235,5,0.0010508022075074736,-0.00017080220750748175
pmtnum_254L,0.00040000000000000034,0.00020000000000003348,0.005528246696728197,5,0.0008118027642938332,-1.1802764293832534e-05
max_amount_4527230A,0.00040000000000000034,0.00046904157598238593,0.06460149231971789,5,0.0013657630877912505,-0.0005657630877912499
max_pmtnum_8L,0.00040000000000000034,0.00014142135623733317,0.0015991010761686358,5,0.000691188527143535,0.00010881147285646568
applicationscnt_867L,0.00040000000000000034,0.00024494897427833616,0.010871489232620914,5,0.0009043533235937049,-0.00010435332359370414
firstquarter_103L,0.00040000000000000034,0.0002828427124746271,0.017054711583706247,5,0.0009823770542869887,-0.0001823770542869881
totaldebt_9A,0.00040000000000000034,0.0003464101615137853,0.03059940981875849,5,0.0011132633104541305,-0.00031326331045412984
max_num_group1_8,0.00040000000000000034,0.0004690415759823504,0.06460149231970716,5,0.0013657630877911774,-0.0005657630877911768
max_num_group1_3,0.00039999999999997817,0.0003464101615137854,0.03059940981876311,5,0.0011132633104541084,-0.000313263310454152
thirdquarter_1082L,0.00036000000000000474,0.0002966479394838388,0.026669130522846623,5,0.0009708022075074748,-0.00025080220750746537
max_firstnonzeroinstldate_307D,0.00036000000000000474,0.00016733200530684312,0.004290459360964708,5,0.0007045389117008886,1.5461088299120924e-05
numinstregularpaidest_4493210L,0.00036000000000000474,8.944271910000657e-05,0.00042191625880088924,5,0.0005441637948566714,0.00017583620514333804
mindbdtollast24m_4525191P,0.00036000000000000474,0.0002607680962081283,0.01834099470022452,5,0.0008969251142906518,-0.00017692511429064236
avginstallast24m_3658937A,0.00036000000000000474,8.944271910000657e-05,0.00042191625880088924,5,0.0005441637948566714,0.00017583620514333804
max_dtlastpmt_581D,0.0003200000000000092,0.00026832815729996176,0.027999999999993995,5,0.00087249138456989,-0.00023249138456987164
max_mainoccupationinc_437A,0.0003200000000000092,0.0002683281573000031,0.028000000000005958,5,0.0008724913845699751,-0.00023249138456995675
max_credamount_590A,0.0003200000000000092,0.00030331501776207986,0.03887082047395289,5,0.0009445298138311922,-0.0003045298138311738
max_num_group1,0.0003200000000000092,0.0002280350850198463,0.01745985333727234,5,0.0007895273918356901,-0.0001495273918356717
max_approvaldate_319D,0.0003200000000000092,0.0002280350850198463,0.01745985333727234,5,0.0007895273918356901,-0.0001495273918356717
month_decision,0.0003200000000000092,0.0002280350850198463,0.01745985333727234,5,0.0007895273918356901,-0.0001495273918356717
secondquarter_766L,0.0003200000000000092,0.00022803508501982193,0.017459853337266695,5,0.0007895273918356399,-0.00014952739183562156
maxinstallast24m_3658928A,0.0003200000000000092,0.00017888543819995727,0.008065044950041608,5,0.0006883275897132275,-4.832758971320917e-05
max_mainoccupationinc_384A,0.0003200000000000092,0.0002683281573000031,0.028000000000005958,5,0.0008724913845699751,-0.00023249138456995675
fourthquarter_440L,0.0003200000000000092,0.0002280350850198463,0.01745985333727234,5,0.0007895273918356901,-0.0001495273918356717
currdebtcredtyperange_828A,0.0003200000000000092,0.0003898717737923555,0.0701786933094918,5,0.0011227513708390344,-0.000482751370839016
maxpmtlast3m_4525190A,0.0002800000000000136,0.0001095445115010313,0.0023179197089516494,5,0.0005055536632466871,5.4446336753340044e-05
riskassesment_940T,0.0002800000000000136,0.00022803508501980735,0.025802978905577367,5,0.0007495273918356142,-0.00018952739183558708
numinstpaid_4499208L,0.0002800000000000136,0.0002683281572999907,0.03997982327279199,5,0.0008324913845699541,-0.0002724913845699269
homephncnt_628L,0.0002800000000000136,0.00017888543820000072,0.012448081730113327,5,0.0006483275897133213,-8.832758971329423e-05
avgpmtlast12m_4525200A,0.0002800000000000136,0.00022803508501985603,0.025802978905592917,5,0.0007495273918357145,-0.00018952739183568737
max_recorddate_4527225D,0.00027999999999999136,0.00030331501776207617,0.05396941114614805,5,0.0009045298138311668,-0.000344529813831184
max_empl_employedfrom_271D,0.00027999999999999136,0.00017888543820001313,0.012448081730119203,5,0.0006483275897133248,-8.832758971334204e-05
dtlastpmtallstes_4499206D,0.00027999999999999136,0.00022803508501984142,0.02580297890559402,5,0.0007495273918356623,-0.00018952739183567956
eir_270L,0.00027999999999999136,0.00030331501776207617,0.05396941114614805,5,0.0009045298138311668,-0.000344529813831184
maxlnamtstart6m_4525199A,0.00027999999999999136,0.00010954451150105156,0.002317919708953875,5,0.0005055536632467066,5.444633675327613e-05
lastapprcredamount_781A,0.00024000000000001798,0.0002607680962081326,0.054350475662465245,5,0.0007769251142906739,-0.0002969251142906379
avglnamtstart24m_4525187A,0.00024000000000001798,0.00021908902300208285,0.03524199845510997,5,0.0006911073264934068,-0.0002111073264933708
pmtssum_45A,0.00024000000000001798,0.0002607680962081113,0.054350475662454864,5,0.0007769251142906299,-0.000296925114290594
numinstls_657L,0.00024000000000001798,0.00016733200530681658,0.016338961668398187,5,0.0005845389117008472,-0.00010453891170081125
cntincpaycont9m_3716944L,0.00024000000000001798,0.0002607680962081326,0.054350475662465245,5,0.0007769251142906739,-0.0002969251142906379
max_creationdate_885D,0.00023999999999999578,8.944271910003138e-05,0.0019412685234835442,5,0.00042416379485671357,5.583620514327799e-05
max_currdebt_94A,0.00023999999999999578,0.00026076809620811557,0.05435047566246871,5,0.0007769251142906166,-0.0002969251142906251
max_dateactivated_425D,0.00023999999999999578,0.00026076809620811557,0.05435047566246871,5,0.0007769251142906166,-0.0002969251142906251
responsedate_4917613D,0.00023999999999999578,8.944271909996932e-05,0.0019412685234786074,5,0.0004241637948565858,5.583620514340576e-05
maxdpdinstlnum_3546846P,0.00023999999999999578,8.944271910003138e-05,0.0019412685234835442,5,0.00042416379485671357,5.583620514327799e-05
max_byoccupationinc_3656910L,0.00020000000000002237,0.00020000000000003348,0.04450467125004894,5,0.0006118027642938552,-0.0002118027642938105
weekday_decision,0.00020000000000002237,0.00020000000000003348,0.04450467125004894,5,0.0006118027642938552,-0.0002118027642938105
annuitynextmonth_57A,0.00020000000000002237,0.00014142135623733317,0.01705471158370768,5,0.000491188527143557,-9.11885271435123e-05
numinstpaidearly5dest_4493211L,0.00020000000000000017,0.00020000000000000573,0.044504671250045875,5,0.0006118027642937759,-0.00021180276429377551
applications30d_658L,0.00020000000000000017,0.00020000000000000573,0.044504671250045875,5,0.0006118027642937759,-0.00021180276429377551
max_amount_4917619A,0.00020000000000000017,4.9650683434871876e-17,4.557872653799889e-52,5,0.0002000000000001024,0.00019999999999989793
totinstallast1m_4525188A,0.0001600000000000268,0.00016733200530684312,0.04965034160686339,5,0.0005045389117009106,-0.00018453891170085702
inittransactionamount_650A,0.0001600000000000046,0.00016733200530683648,0.049650341606875203,5,0.0005045389117008747,-0.00018453891170086556
max_outstandingdebt_522A,0.0001600000000000046,0.00016733200530683648,0.049650341606875203,5,0.0005045389117008747,-0.00018453891170086556
max_childnum_21L,0.0001600000000000046,0.00016733200530683648,0.049650341606875203,5,0.0005045389117008747,-0.00018453891170086556
maininc_215A,0.0001600000000000046,0.000260768096208124,0.12099076528401831,5,0.0006969251142906429,-0.0003769251142906337
contractssum_5085716L,0.00012000000000000899,0.00010954451150104143,0.03524199845510997,5,0.0003455536632467034,-0.0001055536632466854
max_credacc_credlmt_575A,0.00012000000000000899,0.00010954451150104143,0.03524199845510997,5,0.0003455536632467034,-0.0001055536632466854
numinstpaidlastcontr_4325080L,0.00012000000000000899,0.00026832815730003625,0.1869504831500625,5,0.0006724913845700431,-0.00043249138457002515
max_dpdmax_139P,0.00012000000000000899,0.0001788854382000069,0.10400000000001053,5,0.0004883275897133296,-0.0002483275897133116
max_openingdate_313D,0.00012000000000000899,0.00010954451150104143,0.03524199845510997,5,0.0003455536632467034,-0.0001055536632466854
max_amount_416A,0.00012000000000000899,0.00017888543819997586,0.10399999999997858,5,0.0004883275897132656,-0.0002483275897132477
max_debtoverdue_47A,0.00012000000000000899,0.0001788854382000069,0.10400000000001053,5,0.0004883275897133296,-0.0002483275897133116
max_numberofoverdueinstls_725L,0.00012000000000000899,0.0001788854382000069,0.10400000000001053,5,0.0004883275897133296,-0.0002483275897133116
numactivecredschannel_414L,0.00012000000000000899,0.0001788854382000069,0.10400000000001053,5,0.0004883275897133296,-0.0002483275897133116
pmtaverage_3A,0.00012000000000000899,0.00010954451150104143,0.03524199845510997,5,0.0003455536632467034,-0.0001055536632466854
max_totaldebtoverduevalue_178A,0.00012000000000000899,0.0001788854382000069,0.10400000000001053,5,0.0004883275897133296,-0.0002483275897133116
max_dtlastpmtallstes_3545839D,0.00012000000000000899,0.00010954451150104143,0.03524199845510997,5,0.0003455536632467034,-0.0001055536632466854
max_debtoutstand_525A,0.00011999999999998679,0.00010954451150102117,0.03524199845510997,5,0.00034555366324663943,-0.00010555366324666585
max_num_group1_4,0.00011999999999998679,0.00010954451150102117,0.03524199845510997,5,0.00034555366324663943,-0.00010555366324666585
responsedate_1012D,0.00011999999999998679,0.00022803508501987552,0.15227939234033472,5,0.0005895273918357279,-0.00034952739183575436
pmtscount_423L,0.00011999999999998679,0.00010954451150102117,0.03524199845510997,5,0.00034555366324663943,-0.00010555366324666585
max_revolvingaccount_394A,8.00000000000134e-05,0.00010954451150105155,0.08890390417811055,5,0.0003055536632467286,-0.0001455536632467018
max_overdueamountmax_950A,8.00000000000134e-05,0.00010954451150105155,0.08890390417811055,5,0.0003055536632467286,-0.0001455536632467018
clientscnt_533L,8.00000000000134e-05,0.00010954451150105155,0.08890390417811055,5,0.0003055536632467286,-0.0001455536632467018
max_dpdmax_851P,8.00000000000134e-05,0.00010954451150105155,0.08890390417811055,5,0.0003055536632467286,-0.0001455536632467018
downpmt_116A,8.00000000000134e-05,0.00010954451150105156,0.08890390417811055,5,0.0003055536632467286,-0.00014555366324670184
max_debtpastduevalue_732A,8.00000000000134e-05,0.00010954451150105155,0.08890390417811055,5,0.0003055536632467286,-0.0001455536632467018
numactivecreds_622L,8.00000000000134e-05,0.00022803508501984142,0.2383103336363986,5,0.0005495273918356843,-0.00038952739183565753
max_credacc_actualbalance_314A,8.00000000000134e-05,0.00022803508501984142,0.2383103336363986,5,0.0005495273918356843,-0.00038952739183565753
numactiverelcontr_750L,8.00000000000134e-05,0.00010954451150105155,0.08890390417811055,5,0.0003055536632467286,-0.0001455536632467018
max_contractdate_551D,8.00000000000134e-05,0.00010954451150105155,0.08890390417811055,5,0.0003055536632467286,-0.0001455536632467018
max_credacc_minhisbal_90A,8.00000000000134e-05,0.00010954451150105155,0.08890390417811055,5,0.0003055536632467286,-0.0001455536632467018
max_numberofoverdueinstlmaxdat_641D,8.00000000000134e-05,0.00017888543820001313,0.1869504831500295,5,0.0004483275897133468,-0.00028832758971332
assignmentdate_238D,8.00000000000134e-05,0.00010954451150105156,0.08890390417811055,5,0.0003055536632467286,-0.00014555366324670184
max_overdueamountmaxdatemonth_365T,8.00000000000134e-05,0.00010954451150105155,0.08890390417811055,5,0.0003055536632467286,-0.0001455536632467018
max_overdueamountmax2date_1142D,7.999999999999118e-05,0.00010954451150102115,0.08890390417811063,5,0.0003055536632466438,-0.00014555366324666146
max_deductiondate_4917603D,7.999999999999118e-05,0.00010954451150102117,0.08890390417811063,5,0.0003055536632466438,-0.00014555366324666146
max_dateofcredend_289D,7.999999999999118e-05,0.00017888543819996348,0.1869504831500295,5,0.00044832758971322237,-0.00028832758971323994
max_overdueamountmax2_14A,7.999999999999118e-05,0.00010954451150102115,0.08890390417811063,5,0.0003055536632466438,-0.00014555366324666146
max_pmtdaysoverdue_1135P,7.999999999999118e-05,0.00010954451150102115,0.08890390417811063,5,0.0003055536632466438,-0.00014555366324666146
max_overdueamount_659A,7.999999999999118e-05,0.00022803508501987552,0.23831033363648654,5,0.0005495273918357323,-0.0003895273918357499
max_nominalrate_281L,7.999999999999118e-05,0.00010954451150102117,0.08890390417811063,5,0.0003055536632466438,-0.00014555366324666146
max_contractenddate_991D,7.999999999999118e-05,0.00010954451150102115,0.08890390417811063,5,0.0003055536632466438,-0.00014555366324666146
pmtcount_693L,4.00000000000178e-05,8.944271910003138e-05,0.18695048315002946,5,0.0002241637948567356,-0.00014416379485669999
clientscnt_1022L,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
applicationscnt_464L,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
formonth_535L,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
applicationscnt_1086L,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_openingdate_857D,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_residualamount_127A,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_debtvalue_227A,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_instlamount_768A,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_numberofoutstandinstls_59L,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_outstandingamount_362A,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_totaloutstanddebtvalue_39A,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_lastupdate_1112D,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_annualeffectiverate_63L,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_numberofoverdueinstlmax_1039L,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_credlmt_1052A,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_installmentamount_833A,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_dpdmaxdateyear_742T,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
dateofbirth_342D,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_num_group1_6,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
pmtaverage_4955615A,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_numberofinstls_810L,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_instlamount_892A,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
forquarter_634L,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_dpdmaxdatemonth_804T,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_dpd_550P,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
for3years_504L,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_residualamount_3940956A,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_pmtnumpending_403L,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_num_group1_11,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_pmts_date_1107D,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_downpmt_134A,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_contractmaturitydate_151D,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
formonth_118L,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
payvacationpostpone_4187118D,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
max_childnum_185L,0.0,0.0,0.5,5,0.0,0.0
max_amtdebitincoming_4809443A,0.0,0.0,0.5,5,0.0,0.0
max_birthdate_87D,0.0,0.0,0.5,5,0.0,0.0
max_interestrate_508L,0.0,0.0,0.5,5,0.0,0.0
max_last180dayaveragebalance_704A,0.0,0.0,0.5,5,0.0,0.0
max_interesteffectiverate_369L,0.0,0.0,0.5,5,0.0,0.0
max_amtdepositbalance_4809441A,0.0,0.0,0.5,5,0.0,0.0
max_amtdepositoutgoing_4809442A,0.0,0.0,0.5,5,0.0,0.0
max_annualeffectiverate_199L,0.0,0.0,0.5,5,0.0,0.0
max_overdueamountmax2date_1002D,0.0,0.0,0.5,5,0.0,0.0
max_num_group1_7,0.0,0.0,0.5,5,0.0,0.0
max_numberofoverdueinstlmaxdat_148D,0.0,0.0,0.5,5,0.0,0.0
max_dateofrealrepmt_138D,0.0,0.0,0.5,5,0.0,0.0
max_totaldebtoverduevalue_718A,0.0,0.0,0.5,5,0.0,0.0
max_interestrateyearly_538L,0.0,0.0,0.5,5,0.0,0.0
max_periodicityofpmts_837L,0.0,0.0,0.5,5,0.0,0.0
max_nominalrate_498L,0.0,0.0,0.5,5,0.0,0.0
max_residualamount_488A,0.0,0.0,0.5,5,0.0,0.0
max_totalamount_503A,0.0,0.0,0.5,5,0.0,0.0
max_num_group2,0.0,0.0,0.5,5,0.0,0.0
max_installmentamount_644A,0.0,0.0,0.5,5,0.0,0.0
max_last180dayturnover_1134A,0.0,0.0,0.5,5,0.0,0.0
max_totalamount_881A,0.0,0.0,0.5,5,0.0,0.0
max_last30dayturnover_651A,0.0,0.0,0.5,5,0.0,0.0
max_credquantity_984L,0.0,0.0,0.5,5,0.0,0.0
max_credlmt_228A,0.0,0.0,0.5,5,0.0,0.0
max_numberofinstls_229L,0.0,0.0,0.5,5,0.0,0.0
max_residualamount_1093A,0.0,0.0,0.5,5,0.0,0.0
max_num_group1_5,0.0,0.0,0.5,5,0.0,0.0
max_prolongationcount_599L,0.0,0.0,0.5,5,0.0,0.0
max_prolongationcount_1120L,0.0,0.0,0.5,5,0.0,0.0
max_num_group1_9,0.0,0.0,0.5,5,0.0,0.0
max_periodicityofpmts_1102L,0.0,0.0,0.5,5,0.0,0.0
max_numberofinstls_320L,0.0,0.0,0.5,5,0.0,0.0
max_totalamount_6A,0.0,0.0,0.5,5,0.0,0.0
max_credlmt_230A,0.0,0.0,0.5,5,0.0,0.0
max_overdueamountmaxdateyear_994T,0.0,0.0,0.5,5,0.0,0.0
